lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,zero_fraction,refresh_interval,original_mse_mean,compression_ratio_mean,transformed_mse_mean,training_time_mean,original_psnr_mean,model
0.001,128,3,1000,True,45,100,0.1,1,72.80935219747506,22.721758502896183,0.020187934767454816,0.11647414383270836,31.5323321506909,SIREN
0.001,128,3,1000,True,45,100,0.2,1,57.00075448980787,22.721758502896183,0.01098226681351656,0.086041095094526,33.86906908755838,SIREN
0.001,128,3,1000,True,45,100,0.3,1,50.84931975636179,22.721758502896183,0.00790575661230828,0.061687954252199806,34.77827012962058,SIREN
0.001,128,3,1000,True,45,100,0.4,1,40.69119294456792,22.721758502896183,0.0064487760653718805,0.05642569244544449,35.22686608067919,SIREN
0.001,128,3,1000,True,45,100,0.5,1,63.27310493474156,22.721758502896183,0.0063306816620751745,0.04409819504640542,35.140591386496475,SIREN
0.001,128,3,1000,True,45,100,0.6,1,72.63465762048095,22.721758502896183,0.005731712421402285,0.036516830311556094,35.32025721847593,SIREN
0.001,128,3,1000,True,45,100,0.7,1,54.32596685235198,22.721758502896183,0.005322673707269085,0.02687209118065791,35.32912787634073,SIREN
0.001,128,3,1000,True,45,100,0.8,1,74.34201703356736,22.721758502896183,0.005652235110755955,0.018125067497098826,35.21740640487333,SIREN
0.001,128,3,1000,True,45,100,0.9,1,78.71641206015111,22.721758502896183,0.005716788896825109,0.013104193221903268,34.94502789296375,SIREN
0.001,128,3,1000,True,45,100,1.0,1,116.47170688029615,22.721758502896183,0.006072055979166135,0.004985207424346455,34.6263850031772,SIREN
