model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,zero_fraction,refresh_interval,a,s
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,140.9207703208668,5.757182102133744,0.0026660102885216475,101.27840399742126,0.001,3,256,3,1,cuda,2000,1,1000,10,50
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,138.5008013826138,5.757182102133744,0.003179087769240141,101.23963356018066,0.001,3,256,3,1,cuda,2000,1,1000,10,50
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,154.34302051957832,5.757182102133744,0.0033721986692398787,101.22782254219055,0.001,3,256,3,1,cuda,2000,1,1000,10,50
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,157.1777252238119,5.757182102133744,0.003578366246074438,101.24714779853821,0.001,3,256,3,1,cuda,2000,1,1000,10,50
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,106.97905685240964,5.757182102133744,0.002460804069414735,101.25007152557373,0.001,3,256,3,1,cuda,2000,1,1000,10,50
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,384.6232939570783,5.757182102133744,0.005753607954829931,101.21502494812012,0.001,3,256,3,1,cuda,2000,1,1000,10,100
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,498.54482121193104,5.757182102133744,0.007652216125279665,101.21051335334778,0.001,3,256,3,1,cuda,2000,1,1000,10,100
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,393.30626150435074,5.757182102133744,0.0062253293581306934,101.21227979660034,0.001,3,256,3,1,cuda,2000,1,1000,10,100
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,340.7882820343876,5.757182102133744,0.006552176084369421,101.21718311309814,0.001,3,256,3,1,cuda,2000,1,1000,10,100
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,368.17778405287817,5.757182102133744,0.006407614331692457,101.2562472820282,0.001,3,256,3,1,cuda,2000,1,1000,10,100
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1068.6416094063754,5.757182102133744,0.015996253117918968,101.50089144706726,0.001,3,256,3,1,cuda,2000,1,1000,10,200
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1326.9757598100737,5.757182102133744,0.019580461084842682,101.32567286491394,0.001,3,256,3,1,cuda,2000,1,1000,10,200
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,965.376014474565,5.757182102133744,0.015521354041993618,101.22589111328125,0.001,3,256,3,1,cuda,2000,1,1000,10,200
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1013.4590706576305,5.757182102133744,0.01738492026925087,101.2691650390625,0.001,3,256,3,1,cuda,2000,1,1000,10,200
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,906.2698959902109,5.757182102133744,0.01663278229534626,101.28483438491821,0.001,3,256,3,1,cuda,2000,1,1000,10,200
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,124.48659743139224,5.757182102133744,0.0027601600158959627,101.23285269737244,0.001,3,256,3,1,cuda,2000,1,1000,15,50
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,165.32261598477243,5.757182102133744,0.0032566068693995476,101.26363253593445,0.001,3,256,3,1,cuda,2000,1,1000,15,50
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,103.21358350066934,5.757182102133744,0.0021489455830305815,101.25194883346558,0.001,3,256,3,1,cuda,2000,1,1000,15,50
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,97.98231990461848,5.757182102133744,0.0020433480385690928,101.25309801101685,0.001,3,256,3,1,cuda,2000,1,1000,15,50
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,93.23803416792168,5.757182102133744,0.0022008684463799,101.28728079795837,0.001,3,256,3,1,cuda,2000,1,1000,15,50
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,368.3334719084672,5.757182102133744,0.006363715510815382,101.23330950737,0.001,3,256,3,1,cuda,2000,1,1000,15,100
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,473.2059331074297,5.757182102133744,0.007872878573834896,101.22865438461304,0.001,3,256,3,1,cuda,2000,1,1000,15,100
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,361.4476617407129,5.757182102133744,0.006113197188824415,101.21981263160706,0.001,3,256,3,1,cuda,2000,1,1000,15,100
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,395.6099436809739,5.757182102133744,0.006760318763554096,101.22783184051514,0.001,3,256,3,1,cuda,2000,1,1000,15,100
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,245.83672580948794,5.757182102133744,0.005359959322959185,101.2239305973053,0.001,3,256,3,1,cuda,2000,1,1000,15,100
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1215.8435225276105,5.757182102133744,0.01904967427253723,101.22463583946228,0.001,3,256,3,1,cuda,2000,1,1000,15,200
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1437.8868717055723,5.757182102133744,0.02107992209494114,101.25685238838196,0.001,3,256,3,1,cuda,2000,1,1000,15,200
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1167.604099993725,5.757182102133744,0.019086671993136406,101.2338604927063,0.001,3,256,3,1,cuda,2000,1,1000,15,200
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,959.9703475359772,5.757182102133744,0.016741495579481125,101.23013925552368,0.001,3,256,3,1,cuda,2000,1,1000,15,200
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,970.1306227514224,5.757182102133744,0.01799977570772171,101.23184585571289,0.001,3,256,3,1,cuda,2000,1,1000,15,200
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,117.91987088980923,5.757182102133744,0.0021733883768320084,101.23406553268433,0.001,3,256,3,1,cuda,2000,1,1000,30,50
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,206.1754125878514,5.757182102133744,0.003033300396054983,101.27033400535583,0.001,3,256,3,1,cuda,2000,1,1000,30,50
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,109.70829019201807,5.757182102133744,0.002357880352064967,101.3329668045044,0.001,3,256,3,1,cuda,2000,1,1000,30,50
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,142.22441066348728,5.757182102133744,0.003295119618996978,101.24510860443115,0.001,3,256,3,1,cuda,2000,1,1000,30,50
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,186.34074318105758,5.757182102133744,0.0034607499837875366,101.24419021606445,0.001,3,256,3,1,cuda,2000,1,1000,30,50
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,328.2816121255857,5.757182102133744,0.00554001284763217,101.22522401809692,0.001,3,256,3,1,cuda,2000,1,1000,30,100
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,317.30555424824297,5.757182102133744,0.005685046780854464,101.232834815979,0.001,3,256,3,1,cuda,2000,1,1000,30,100
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,280.6425454421854,5.757182102133744,0.0054581970907747746,101.21765613555908,0.001,3,256,3,1,cuda,2000,1,1000,30,100
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,272.58162990503683,5.757182102133744,0.00524487067013979,101.22884392738342,0.001,3,256,3,1,cuda,2000,1,1000,30,100
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,306.00181324255357,5.757182102133744,0.007162194699048996,101.22455382347107,0.001,3,256,3,1,cuda,2000,1,1000,30,100
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1161.3441304279618,5.757182102133744,0.018334094434976578,101.2287654876709,0.001,3,256,3,1,cuda,2000,1,1000,30,200
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1324.9107131651606,5.757182102133744,0.019404008984565735,101.31319499015808,0.001,3,256,3,1,cuda,2000,1,1000,30,200
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1120.6756322163656,5.757182102133744,0.018746856600046158,101.22451424598694,0.001,3,256,3,1,cuda,2000,1,1000,30,200
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1008.20382833417,5.757182102133744,0.01784030720591545,101.23116421699524,0.001,3,256,3,1,cuda,2000,1,1000,30,200
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1005.3281197707497,5.757182102133744,0.01867116242647171,101.22501492500305,0.001,3,256,3,1,cuda,2000,1,1000,30,200
