lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,zero_fraction,refresh_interval,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.001,128,3,2000,True,45,100,0.1,10,445.6460804154116,22.721758502896183,0.01057198252528902,7.129202222824096,33.732661472210125,SIREN
0.001,128,3,2000,True,45,100,0.1,100,605.3197163654619,22.721758502896183,0.01671041399240488,5.433270072937011,32.407075224352475,SIREN
0.001,128,3,2000,True,45,100,0.1,1000,706.2859558023762,22.721758502896183,0.0200529053807258,5.275065088272095,31.717343314451124,SIREN
0.001,128,3,2000,True,45,100,0.2,10,324.1568001171352,22.721758502896183,0.0069244124926626195,9.085555601119996,35.13888363201451,SIREN
0.001,128,3,2000,True,45,100,0.2,100,329.6997275560576,22.721758502896183,0.00830508479848498,7.279561376571655,35.042163449785406,SIREN
0.001,128,3,2000,True,45,100,0.2,1000,385.8439623075636,22.721758502896183,0.01025145910680288,7.111546373367309,34.356690756605616,SIREN
0.001,128,3,2000,True,45,100,0.3,10,265.606726123243,22.721758502896183,0.00525944288820024,10.974436807632447,35.98692802746213,SIREN
0.001,128,3,2000,True,45,100,0.3,100,276.3151935868474,22.721758502896183,0.00612139618024226,9.094326782226563,35.83211057631047,SIREN
0.001,128,3,2000,True,45,100,0.3,1000,317.81623473058903,22.721758502896183,0.00737869003787632,8.900169706344604,35.20952634446811,SIREN
0.001,128,3,2000,True,45,100,0.4,10,285.90866826681724,22.721758502896183,0.00574019458144898,12.650380086898803,35.693754297156644,SIREN
0.001,128,3,2000,True,45,100,0.4,100,281.4015815867637,22.721758502896183,0.00593435987830158,10.724130058288575,35.78850861762181,SIREN
0.001,128,3,2000,True,45,100,0.4,1000,294.1747416750335,22.721758502896183,0.00640870183706278,10.538513088226319,35.5644499624889,SIREN
0.001,128,3,2000,True,45,100,0.5,10,284.5648194339859,22.721758502896183,0.00560697522014376,14.551701641082763,35.727664025086185,SIREN
0.001,128,3,2000,True,45,100,0.5,100,225.93566662483266,22.721758502896183,0.00423602121882134,12.362714338302613,36.73727420431223,SIREN
0.001,128,3,2000,True,45,100,0.5,1000,285.67337056559575,22.721758502896183,0.005715990718454101,12.1736083984375,35.6831615588345,SIREN
0.001,128,3,2000,True,45,100,0.6,10,292.5732557835509,22.721758502896183,0.00549714416265484,16.002403020858765,35.72502028473279,SIREN
0.001,128,3,2000,True,45,100,0.6,100,289.35858982806224,22.721758502896183,0.0052097458392381,13.98479413986206,35.70378109381316,SIREN
0.001,128,3,2000,True,45,100,0.6,1000,312.44393773008704,22.721758502896183,0.00593782863579686,13.80427532196045,35.38472642237958,SIREN
0.001,128,3,2000,True,45,100,0.7,10,307.30570223602746,22.721758502896183,0.00578898573294278,17.649285125732423,35.48662058958682,SIREN
0.001,128,3,2000,True,45,100,0.7,100,356.5335657735107,22.721758502896183,0.00692837666720148,15.622541427612305,34.741346090316185,SIREN
0.001,128,3,2000,True,45,100,0.7,1000,350.45630333835345,22.721758502896183,0.0065853308886289,15.435699462890625,34.81164487851608,SIREN
0.001,128,3,2000,True,45,100,0.8,10,259.6228479020248,22.721758502896183,0.00449867192655796,19.293782234191895,36.21258186080614,SIREN
0.001,128,3,2000,True,45,100,0.8,100,307.4128019892068,22.721758502896183,0.00568394442088898,17.27303867340088,35.552940641950904,SIREN
0.001,128,3,2000,True,45,100,0.8,1000,287.732101583417,22.721758502896183,0.00531347212381656,17.07138113975525,35.660171007959335,SIREN
0.001,128,3,2000,True,45,100,0.9,10,269.0846265269411,22.721758502896183,0.0047237593680619794,20.969149446487428,36.08155172964835,SIREN
0.001,128,3,2000,True,45,100,0.9,100,350.5161395582329,22.721758502896183,0.00594642255455252,18.899276351928712,34.98584824412732,SIREN
0.001,128,3,2000,True,45,100,0.9,1000,376.6387278279786,22.721758502896183,0.0065479220822453,18.705070400238036,34.57568921291167,SIREN
0.001,128,3,2000,True,45,100,1.0,10,352.39455870356426,22.721758502896183,0.005827348446473419,22.6243887424469,34.990359590057665,SIREN
0.001,128,3,2000,True,45,100,1.0,100,343.7184435659304,22.721758502896183,0.0059728826861827995,20.533760452270506,35.05205197601697,SIREN
0.001,128,3,2000,True,45,100,1.0,1000,341.58535600736275,22.721758502896183,0.005846841260790761,20.37274560928345,35.027814350152696,SIREN
