lr,hidden_features,hidden_layers,max_iters,outermost_linear,zero_percent,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.001,128,3,100,True,0.5,1470.6278261483433,22.721758502896183,0.01863852255046362,10.235818195343018,28.540441433263698,SIREN
0.001,128,3,500,True,0.5,1752.1378678777612,22.721758502896183,0.01009884551167482,45.29899797439575,27.774379855981444,SIREN
0.001,128,3,1000,True,0.5,1785.5800190344712,22.721758502896183,0.009006667323410461,107.09383296966553,27.687857093865386,SIREN
0.001,128,3,2000,True,0.5,1868.7599632906629,22.721758502896183,0.00853038616478438,210.95890135765075,27.50332329528886,SIREN
0.001,128,4,100,True,0.5,1455.2858773636212,15.244594136755884,0.01321136951446528,10.863735818862915,28.59384702846856,SIREN
0.001,128,4,500,True,0.5,1517.5235935931225,15.244594136755884,0.00705510061234232,54.20420694351196,28.4015706010368,SIREN
0.001,128,4,1000,True,0.5,1548.7304928045514,15.244594136755884,0.0070004117675125195,103.2356833934784,28.316648543612065,SIREN
0.001,128,4,2000,True,0.5,1612.6118662148594,15.244594136755884,0.00673272768035528,173.65330276489257,28.144491681805818,SIREN
0.001,256,3,100,True,0.5,1482.9567731864959,5.757182102133744,0.0093432022258639,12.051397037506103,28.50625654579747,SIREN
0.001,256,3,500,True,0.5,1603.514319517654,5.757182102133744,0.00543769076466556,52.10162453651428,28.161560033510494,SIREN
0.001,256,3,1000,True,0.5,1659.483772851824,5.757182102133744,0.00468407962471242,98.5938367843628,28.012060174785308,SIREN
0.001,256,3,2000,True,0.5,1631.1122445511212,5.757182102133744,0.004406881425529681,165.52555079460143,28.0872502273375,SIREN
0.001,256,4,100,True,0.5,1458.1345831241633,3.8504960811851583,0.006811620201915459,10.726926565170288,28.57781590730992,SIREN
0.001,256,4,500,True,0.5,1486.8840855609938,3.8504960811851583,0.00458812024444336,55.16822834014893,28.494506078997233,SIREN
0.001,256,4,1000,True,0.5,1477.1574762592033,3.8504960811851583,0.00403937306255096,99.54247412681579,28.514908219573687,SIREN
0.001,256,4,2000,True,0.5,1487.294015645917,3.8504960811851583,0.00413206103257828,190.7086350440979,28.494734678904507,SIREN
