lr,hidden_features,hidden_layers,max_iters,outermost_linear,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.001,128,3,1000,False,8634.215075545237,22.721758502896183,0.13485193153222397,6.621545651753744,21.360981107750856,SIREN
0.001,128,3,1000,True,513.0481171735554,22.721758502896183,0.010583965815603683,6.601917273203532,33.20156389948134,SIREN
0.001,128,3,2000,False,7420.579415596413,22.721758502896183,0.11858170861999189,14.838240960439046,22.249860195124196,SIREN
0.001,128,3,2000,True,482.11940062332667,22.721758502896183,0.01007167477160687,14.302106383641561,33.48047996286197,SIREN
0.001,128,4,1000,False,4411.578326186692,15.244594136755882,0.0672720494618018,8.827558377583822,25.05132313916929,SIREN
0.001,128,4,1000,True,397.08080967969096,15.244594136755882,0.008532757585247307,8.805687274932861,34.40696830049576,SIREN
0.001,128,4,2000,False,3307.5915819005186,15.244594136755882,0.05081180685510233,17.61408665339152,26.451196255640728,SIREN
0.001,128,4,2000,True,377.40373211596386,15.244594136755882,0.00837205898637568,17.590580841700238,34.6682494470438,SIREN
0.001,256,3,1000,False,11800.338239032519,5.757182102133744,0.18961787798752386,14.953360195159911,20.255520757929187,SIREN
0.001,256,3,1000,True,308.25059128876615,5.757182102133744,0.00721253350066637,14.938325417836507,35.74453785006017,SIREN
0.001,256,3,2000,False,9901.618676581325,5.757182102133744,0.16115958434219158,29.87923028945923,21.18005282211351,SIREN
0.001,256,3,2000,True,281.20580087711954,5.757182102133744,0.006860427384575154,29.853823350270588,36.26552081492816,SIREN
0.001,256,4,1000,False,16436.09442673472,3.8504960811851583,0.21459951862692828,20.762598298390706,22.245129810208926,SIREN
0.001,256,4,1000,True,287.57328266189757,3.8504960811851583,0.006228307460745127,20.74453775723775,36.247137913169404,SIREN
0.001,256,4,2000,False,12424.917344691265,3.8504960811851583,0.1603789726644754,41.44656311035156,24.205097878540435,SIREN
0.001,256,4,2000,True,275.6185315916444,3.8504960811851583,0.006002048803493333,41.415119333267214,36.48629284459423,SIREN
