lr,hidden_features,hidden_layers,max_iters,a,s,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.001,256,4,2000,0.1,0.1,1576.5815663696453,3.8504960811851583,0.027926225215196582,162.6951889038086,28.24830084306793,WIRE
0.001,256,4,2000,0.1,1.0,1576.5669738851238,3.8504960811851583,0.027556230127811398,138.60716018676757,28.24834510116583,WIRE
0.001,256,4,2000,0.1,5.0,1325.6795272234772,3.8504960811851583,0.02260761521756644,137.83660349845886,28.981858225601123,WIRE
0.001,256,4,2000,0.1,10.0,1255.2751777945114,3.8504960811851583,0.020858590304851498,137.9132483959198,29.255241438154826,WIRE
0.001,256,4,2000,0.1,20.0,1333.4673012361948,3.8504960811851583,0.022125975415110542,138.06136994361879,28.97495476447607,WIRE
0.001,256,4,2000,1.0,0.1,1576.5815663696453,3.8504960811851583,0.02776393368840212,137.87003436088563,28.24830084306793,WIRE
0.001,256,4,2000,1.0,1.0,1576.5815663696453,3.8504960811851583,0.02755874097347254,137.86972608566285,28.24830084306793,WIRE
0.001,256,4,2000,1.0,5.0,802.91168031501,3.8504960811851583,0.014020284451544221,137.85209283828735,31.188729628694723,WIRE
0.001,256,4,2000,1.0,10.0,330.23398829693775,3.8504960811851583,0.0049104156903922004,137.92279677391053,35.03804779924046,WIRE
0.001,256,4,2000,1.0,20.0,468.03263888888887,3.8504960811851583,0.007755191344767739,138.0618905067444,33.49932416288516,WIRE
0.001,256,4,2000,5.0,0.1,1168.6903692896587,3.8504960811851583,0.01972150951623912,137.85461983680725,29.53027417595256,WIRE
0.001,256,4,2000,5.0,1.0,1287.8750915118808,3.8504960811851583,0.02151746787130828,137.86056771278382,29.112031927571643,WIRE
0.001,256,4,2000,5.0,5.0,462.4378979459505,3.8504960811851583,0.00812073498964304,137.8490960597992,33.58112888712442,WIRE
0.001,256,4,2000,5.0,10.0,242.52719001004016,3.8504960811851583,0.00421218951232728,137.86867871284485,36.40830470822404,WIRE
0.001,256,4,2000,5.0,20.0,146.79273970883534,3.8504960811851583,0.00221849912777536,137.9776535511017,38.54386169402442,WIRE
0.001,256,4,2000,10.0,0.1,363.6968480693608,3.8504960811851583,0.006347813922911841,137.85307202339172,34.6162531184482,WIRE
0.001,256,4,2000,10.0,1.0,426.3893992637216,3.8504960811851583,0.007126598525792299,137.84745540618897,33.982256783667005,WIRE
0.001,256,4,2000,10.0,5.0,338.4853115587349,3.8504960811851583,0.0060978041030466,137.84634485244752,34.957480215312536,WIRE
0.001,256,4,2000,10.0,10.0,250.8326969335676,3.8504960811851583,0.0040641631931066,137.87880420684814,36.224684878336504,WIRE
0.001,256,4,2000,10.0,20.0,115.96665856132866,3.8504960811851583,0.00180272369179868,138.0131901741028,39.615235649612664,WIRE
0.001,256,4,2000,20.0,0.1,214.34432129559906,3.8504960811851583,0.00391036891378458,137.85632495880128,36.992656821412844,WIRE
0.001,256,4,2000,20.0,1.0,177.55064711972892,3.8504960811851583,0.0036444670055061205,137.85684547424316,37.726850776162514,WIRE
0.001,256,4,2000,20.0,5.0,146.71442854752343,3.8504960811851583,0.0032357261050491998,137.85030040740966,38.54016010414584,WIRE
0.001,256,4,2000,20.0,10.0,130.76687923569278,3.8504960811851583,0.00224579502828416,137.87630519866943,39.09927520807454,WIRE
0.001,256,4,2000,20.0,20.0,95.28658906459171,3.8504960811851583,0.001478333864361,137.9880546092987,40.439431308939916,WIRE
