lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,sample_fraction,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model,original_mse_std,training_time_std
0.001,128,3,1000,True,45,100,0.1,384.66177450688167,22.721758502896183,0.008475318434648164,1.8580535173416137,34.350290143107415,SIREN,16.38658688610928,0.09934464730069398
0.001,128,3,1000,True,45,100,0.2,331.0239810805723,22.721758502896183,0.007536615780554661,3.0038893461227416,35.001752990833516,SIREN,12.251122093756079,0.01698978907040968
0.001,128,3,1000,True,45,100,0.3,313.1089605165454,22.721758502896183,0.00720381138380613,4.01881445646286,35.24458835833574,SIREN,13.875606300562774,0.027783064185835364
0.001,128,3,1000,True,45,100,0.4,306.2581092599565,22.721758502896183,0.007045738934539215,5.029209005832672,35.338030317027325,SIREN,7.959197577601723,0.03240762324147433
0.001,128,3,1000,True,45,100,0.5,293.2364540192018,22.721758502896183,0.00680490960367019,5.952352464199066,35.53078187962247,SIREN,15.101437792303853,0.026378580745526438
0.001,128,3,1000,True,45,100,0.6,295.068550634831,22.721758502896183,0.0068159962305798655,6.883937835693359,35.50879128823114,SIREN,21.253984336841626,0.034825664813628913
0.001,128,3,1000,True,45,100,0.7,287.89270088165165,22.721758502896183,0.006659013614989761,7.8021093010902405,35.61146142665226,SIREN,16.041319952877984,0.022230129832299304
0.001,128,3,1000,True,45,100,0.8,288.3735629366424,22.721758502896183,0.0067635934101417106,8.726166939735412,35.6021111734306,SIREN,12.97123721576638,0.011372432587970252
0.001,128,3,1000,True,45,100,0.9,288.0194987632823,22.721758502896183,0.0066573511576279495,9.663263642787934,35.608383897416495,SIREN,14.416794134786429,0.03351213553981889
0.001,128,3,1000,True,45,100,1.0,293.81865757300034,22.721758502896183,0.00677976661827411,10.58502916097641,35.52521387071921,SIREN,18.93917325625426,0.015120959937015243
