lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,refresh_interval,fraction,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model,original_mse_std,training_time_std
0.001,128,3,1000,True,45,100,1,0.1,594.9819076435953,22.721758502896183,0.007203950127586669,1.8470654726028441,32.46736057524855,SIREN,50.85690423294657,0.10507596484103
0.001,128,3,1000,True,45,100,1,0.2,469.25359144912983,22.721758502896183,0.006183889810927159,3.0565920233726502,33.51695390177163,SIREN,59.96458290382662,0.01305941448683789
0.001,128,3,1000,True,45,100,1,0.3,418.0473767465696,22.721758502896183,0.00564722360577429,4.082567024230957,34.03067841605086,SIREN,62.05772822406787,0.012671256019022439
0.001,128,3,1000,True,45,100,1,0.4,407.1900089943106,22.721758502896183,0.005683471122756545,5.068122708797455,34.162707717467754,SIREN,69.419247191699,0.010027419755838235
0.001,128,3,1000,True,45,100,1,0.5,388.70097349031545,22.721758502896183,0.005826668883673796,5.980645227432251,34.38087615165994,SIREN,75.45788435433646,0.014812876273184328
0.001,128,3,1000,True,45,100,1,0.6,344.8632171263178,22.721758502896183,0.005118128424510305,6.922960901260376,34.87316133309794,SIREN,56.14062858351602,0.009798107488310505
0.001,128,3,1000,True,45,100,1,0.7,350.50771523594375,22.721758502896183,0.0051820215187035005,7.850732374191284,34.83059092773349,SIREN,68.84228604595599,0.018459945186227164
0.001,128,3,1000,True,45,100,1,0.8,329.87977522067433,22.721758502896183,0.005166381481103555,8.794790852069855,35.10783889222058,SIREN,72.28280255975218,0.01488163625340476
0.001,128,3,1000,True,45,100,1,0.9,342.19063977263215,22.721758502896183,0.005330779927316995,9.720756375789643,34.97172871384343,SIREN,80.74153321507933,0.0145724499391477
0.001,128,3,1000,True,45,100,1,1.0,307.68874377719214,22.721758502896183,0.00461344256764272,10.651823472976684,35.40429027803421,SIREN,66.82026615126593,0.019949880120722723
